Quantity,Level/Category,Common Code,Name,Conversion Factor,Symbol,Description
volume flow rate,2,L50,peck (US dry) per minute,"1,468 295 x 10⁻⁴ m³/s",pk (US dry)/min,
volume flow rate,2,L51,peck (US dry) per second,"8,809 768 x 10⁻³ m³/s",pk (US dry)/s,
volume flow rate,2,L53,pint (UK) per day,"6,577 098 x 10⁻⁹ m³/s",pt (UK)/d,
volume flow rate,2,L54,pint (UK) per hour,"1,578 504 x 10⁻⁷ m³/s",pt (UK)/h,
volume flow rate,2,L55,pint (UK) per minute,"9,471 022 x 10⁻⁶ m³/s",pt (UK)/min,
volume flow rate,2,L56,pint (UK) per second,"5,682 613 x 10⁻⁴ m³/s",pt (UK)/s,
volume flow rate,2,L57,pint (US liquid) per day,"5,476 580 x 10⁻⁹ m³/s",pt (US liq.)/d,
volume flow rate,2,L58,pint (US liquid) per hour,"1,314 379 x 10⁻⁷ m³/s",pt (US liq.)/h,
volume flow rate,2,L59,pint (US liquid) per minute,"7,886 275 x 10⁻⁶ m³/s",pt (US liq.)/min,
volume flow rate,2,L60,pint (US liquid) per second,"4,731 765 x 10⁻⁴ m³/s",pt (US liq.)/s,
volume flow rate,2,M12,cubic yard per day,"8,849 015 x 10⁻⁶ m³/s",yd³/d,
volume flow rate,2,M13,cubic yard per hour,"2,123 764 x 10⁻⁴ m³/s",yd³/h,
volume flow rate,2,M15,cubic yard per minute,"1,274 258 x 10⁻² m³/s",yd³/min,
volume flow rate,2,M16,cubic yard per second,"0,764 554 9 m³/s",yd³/s,
volume ratio,1M,H60,cubic metre per cubic metre,1,m³/m³,
leakage rate of gas,1M,F92,bar cubic metre per second,10⁵ kg x m² x s⁻³,bar·m³/s,
leakage rate of gas,1M,F91,bar litre per second,10² kg x m² x s⁻³,bar·l/s,
leakage rate of gas,2,K87,psi cubic inch per second,"0,112 985 Pa x m³/s",psi·in³/s,
leakage rate of gas,2,K88,psi litre per second,"6,894 757 Pa x m³/s",psi·l/s,
leakage rate of gas,2,K89,psi cubic metre per second,"6,894 757  x 10³ Pa x m³/s",psi·m³/s,
leakage rate of gas,2,K90,psi cubic yard per second,"5,271 420 x 10³ Pa x m³/s",psi·yd³/s,
mass ratio,1S,Q29,microgram per hectogram,10⁻8,µg/hg,Microgram per hectogram.
volume flow rate,2,Q37,Standard cubic metre per day,1.15741 × 10-5 m3/s,,Standard cubic metre (temperature 15°C and pressure 101325 millibars ) per day
volume flow rate,2,Q38,Standard cubic metre per hour,2.77778 × 10-4 m3/s,,Standard cubic metre (temperature 15°C and pressure 101325 millibars ) per hour
volume flow rate,2,Q39,Normalized cubic metre per day,1.15741 × 10-5 m3/s,,Normalized cubic metre (temperature 0°C and pressure 101325 millibars ) per day
volume flow rate,2,Q40,Normalized cubic metre per hour,2.77778 × 10-4 m3/s,,Normalized cubic metre (temperature 0°C and pressure 101325 millibars ) per hour
,2,KWN,Kilowatt hour per normalized cubic metre,,,Kilowatt hour per normalized cubic metre (temperature 0°C and pressure 101325 millibars ).
,2,KWS,Kilowatt hour per standard cubic metre,,,Kilowatt hour per standard cubic metre (temperature 15°C and pressure 101325 millibars).
,2,Q41,Joule per normalised cubic metre,,,Joule per normalised cubic metre (temperature 0°C and pressure 101325 millibars).
,2,Q42,Joule per standard cubic metre,,,Joule per standard cubic metre (temperature 15°C and pressure 101325 millibars).
thermodynamic,1,KEL,kelvin,K,K,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics)
temperature,1,CEL,degree Celsius,1 x K,°C,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics)
temperature,1M,H12,degree Celsius per hour,"2,777 78 x 10⁻⁴ s⁻¹ K",°C/h,
temperature,1M,F60,degree Celsius per bar,10⁻⁵ kg⁻¹ x m x s² x K,°C/bar,
temperature,1M,E98,degree Celsius per kelvin,1,°C/K,
temperature,1M,H13,degree Celsius per minute,"1,666 67 x 10⁻² s⁻¹ K",°C/min,
temperature,1M,H14,degree Celsius per second,s⁻¹ K,°C/s,
temperature,1M,F61,kelvin per bar,10⁻⁵ kg⁻¹ x m x s² x K,K/bar,
temperature,1M,F10,kelvin per hour,"2,777 78 × 10⁻⁴ s⁻¹ x K",K/h,
temperature,1M,F02,kelvin per kelvin,1,K/K,
temperature,1M,F11,kelvin per minute,"1,666 67 × 10⁻² s⁻¹ x K",K/min,
temperature,1M,F12,kelvin per second,s⁻¹ x K,K/s,
temperature,1S,N79,kelvin per pascal,kg⁻¹ x m x s² x K,K/Pa,SI base unit kelvin divided by the derived SI unit pascal.
temperature,2,J20,degree Fahrenheit per kelvin,"0,555 555 6",°F/K,
temperature,2,J21,degree Fahrenheit per bar,"0,555 555 6 x 10⁻⁵ K/Pa",°F/bar,
temperature,2,J26,reciprocal degree Fahrenheit,"1,8 1/K",1/°F,
temperature,2,A48,degree Rankine,5/9 x K,°R,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics)
fahrenheit temperature,2,FAH,degree Fahrenheit,5/9 x K,°F,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics)
temperature variation over time,2,J23,degree Fahrenheit per hour,"1,543 210 x 10⁻⁴ K/s",°F/h,
temperature variation over time,2,J24,degree Fahrenheit per minute,"9,259 259 x 10⁻³  K/s",°F/min,
temperature variation over time,2,J25,degree Fahrenheit per second,"0,555 555 6 K/s",°F/s,
temperature variation over time,2,J28,degree Rankine per hour,"1,543 210 x 10⁻⁴ K/s",°R/h,
temperature variation over time,2,J29,degree Rankine per minute,"9,259 259 x 10⁻³  K/s",°R/min,
temperature variation over time,2,J30,degree Rankine per second,"0,555 555 6 K/s",°R/s,
"linear expansion coefficient, cubic expansion coefficient, relative pressure coefficient",1,C91,reciprocal kelvin or kelvin to the power minus one,K⁻¹,K⁻¹,
"linear expansion coefficient, cubic expansion coefficient, relative pressure coefficient",2,M20,reciprocal megakelvin or megakelvin to the power minus one,10⁻⁶ K⁻¹,1/MK,
pressure coefficient,1,C64,pascal per kelvin,Pa/K,Pa/K,
pressure coefficient,1M,F81,bar per kelvin,10⁵ kg x m⁻¹ x s⁻² x K⁻¹,bar/K,
"isothermal compressibility, isentropic compressibility",1,C96,reciprocal pascal or pascal to the power minus one,Pa⁻¹,Pa⁻¹,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",1,JOU,joule,J,J,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",1S,J55,watt second,W x s,W·s,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,BTU,British thermal unit (international table),"1,055 056 x 10³ J",BtuIT,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,A1,15 °C calorie,"4,188 46  J",cal₁₅,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,D70,calorie (international table) ,"4,186 8 J",calIT,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,J39,British thermal unit (mean),"1,055 87 x 10³ J",Btu,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,J75,calorie (mean),"4,190 02 J",cal,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,K51,kilocalorie (mean),"4,190 02 x 10³ J",kcal,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,E14,kilocalorie (international table),"4,186 8 x 10³ J",kcalIT,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,K53,kilocalorie (thermochemical),"4,184 x 10³ J",kcalth,
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,N66,British thermal unit (39 ºF) ,"1,059 67  x 10³ J",Btu (39 ºF) ,Unit of heat energy according to the Imperial system of units in a reference temperature of 39 °F.
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,N67,British thermal unit (59 ºF),"1,054 80  x 10³ J",Btu (59 ºF),Unit of heat energy according to the Imperial system of units in a reference temperature of 59 °F.
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,N68,British thermal unit (60 ºF) ,"1,054 68  x 10³ J",Btu (60 ºF) ,Unit of head energy according to the Imperial system of units at a reference temperature of 60 °F.
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,N69,calorie (20 ºC) ,"4,181 90 x J",cal₂₀,"Unit for quantity of heat, which is to be required for 1 g air free water at a constant pressure from 101,325 kPa, to warm up the pressure of standard atmosphere at sea level, from 19,5 °C on 20,5 °C."
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,N70,quad (1015 BtuIT),"1,055 056 × 10¹⁸ J",quad,Unit of heat energy according to the imperial system of units.
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,N71,therm (EC),"1,055 06 × 10⁸ J",thm (EC),"Unit of heat energy in commercial use, within the EU defined: 1 thm (EC) = 100 000 BtuIT."
"heat, quantity of heat, energy, thermodynamic energy, enthalpy, Helmholtz function, Helmholtz free energy",2,N72,therm (U.S.),"1,054 804 × 10⁸ J",thm (US),Unit of heat energy in commercial use.
"Gibbs function, Gibbs free energy",2,D35,calorie (thermochemical),"4,184 J",calth,
heat flow rate,1,WTT,watt,W,W,
heat flow rate,1S,KWT,kilowatt,10³ W,kW,
heat flow rate,2,2I,British thermal unit (international table) per hour,"2,930 711x 10⁻¹ W",BtuIT/h,
heat flow rate,2,J44,British thermal unit (international table) per minute,"17,584 266 W",BtuIT/min,
heat flow rate,2,J45,British thermal unit (international table) per second,"1,055 056 x 10³ W",BtuIT/s,
heat flow rate,2,J47,British thermal unit (thermochemical) per hour,"0,292 875 1 W",Btuth/h,
heat flow rate,2,J51,British thermal unit (thermochemical) per minute,"17,572 50 W",Btuth/min,
heat flow rate,2,J52,British thermal unit (thermochemical) per second,"1,054 350 x 10³ W",Btuth/s,
heat flow rate,2,J81,calorie (thermochemical) per minute,"6,973 333 x 10⁻² W",calth/min,
heat flow rate,2,J82,calorie (thermochemical) per second,"4,184 W",calth/s,
heat flow rate,2,E15,kilocalorie (thermochemical) per hour,"1,162 22 W",kcalth/h,
heat flow rate,2,K54,kilocalorie (thermochemical) per minute,"69,733 33 W",kcalth/min,
heat flow rate,2,K55,kilocalorie (thermochemical) per second,"4,184 x 10³ W",kcalth/s,
density of heat flow rate,1,D54,watt per square metre,W/m²,W/m²,
density of heat flow rate,2,N48,watt per square centimetre ,10⁴ W/m²,W/cm²,"Derived SI unit watt divided by the power of the 0,01-fold the SI base unit metre by exponent 2."
density of heat flow rate,2,N49,watt per square inch ,"1,550 003 x 10³ W/m²",W/in²,Derived SI unit watt divided by the power of the unit inch according to the Anglo-American and Imperial system of units by exponent 2.
density of heat flow rate,2,N50,British thermal unit (international table) per square foot hour,"3,154 591 W/m²",BtuIT/(ft²·h),Unit of the surface heat flux according to the Imperial system of units.
density of heat flow rate,2,N51,British thermal unit (thermochemical) per square foot hour,"3,152 481 W/m²",Btuth/(ft²·h),Unit of the surface heat flux according to the Imperial system of units.
density of heat flow rate,2,N52,British thermal unit (thermochemical) per square foot minute,"1,891 489 x 10² W/m²",Btuth/(ft²·min) ,Unit of the surface heat flux according to the Imperial system of units.
density of heat flow rate,2,N53,British thermal unit (international table) per square foot second,"1,135 653 x 10⁴ W/m²",BtuIT/(ft²·s),Unit of the surface heat flux according to the Imperial system of units.
density of heat flow rate,2,N54,British thermal unit (thermochemical) per square foot second,"1,134 893 x 10⁴ W/m²",Btuth/(ft²·s),Unit of the surface heat flux according to the Imperial system of units.
density of heat flow rate,2,N55,British thermal unit (international table) per square inch second,"1,634 246 x 10⁶ W/m²",BtuIT/(in²·s),Unit of the surface heat flux according to the Imperial system of units.
density of heat flow rate,2,N56,calorie (thermochemical) per square centimetre minute,"6,973 333 x 10² W/m²",calth/(cm²·min),Unit of the surface heat flux according to the Imperial system of units.
density of heat flow rate,2,N57,calorie (thermochemical) per square centimetre second,"4,184 x 10⁴ W/m²",calth/(cm²·s),Unit of the surface heat flux according to the Imperial system of units.
thermal conductivity,1,D53,watt per metre kelvin,W/(m x K),W/(m·K),
thermal conductivity,1M,N80,watt per metre degree Celsius,W/(m x K),W/(m·°C),Derived SI unit watt divided by the product of the SI base unit metre and the unit for temperature degree Celsius.
thermal conductivity,1M,N81,kilowatt per metre kelvin,10³ W/(m x K),kW/(m·K),1000-fold of the derived SI unit watt divided by the product of the SI base unit metre and the SI base unit kelvin.
thermal conductivity,1M,N82,kilowatt per metre degree Celsius,10³ W/(m x K),kW/(m·°C),1000-fold of the derived SI unit watt divided by the product of the SI base unit metre and the unit for temperature degree Celsius.
thermal conductivity,2,A22,British thermal unit (international table) per second foot degree Rankine,"6 230,64 W/(m x K)",BtuIT/(s·ft·°R),
thermal conductivity,2,D71,calorie (international table) per second centimetre kelvin,"418,68 W/(m x K)",calIT/(s·cm·K),
thermal conductivity,2,D38,calorie (thermochemical) per second centimetre kelvin,"418,4 W/(m x K)",calth/(s·cm·K),
thermal conductivity,2,J40,British thermal unit (international table) foot per hour square foot degree Fahrenheit,"1,730 735 W/(m x K)",BtuIT·ft/(h·ft²·°F),
thermal conductivity,2,J41,British thermal unit (international table) inch per hour square foot degree Fahrenheit,"0,144 227 9 W/(m x K)",BtuIT·in/(h·ft²·°F),
thermal conductivity,2,J42,British thermal unit (international table) inch per second square foot degree Fahrenheit,"5,192 204 x 10² W/(m x K)",BtuIT·in/(s·ft²·°F),
thermal conductivity,2,J46,British thermal unit (thermochemical) foot per hour square foot degree Fahrenheit,"1,729 577 W/(m x K)",Btuth·ft/(h·ft²·°F),
thermal conductivity,2,J48,British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit,"0,144 131 4 W/(m x K)",Btuth·in/(h·ft²·°F),
thermal conductivity,2,J49,British thermal unit (thermochemical) inch per second square foot degree Fahrenheit,"5,188 732 x 10² W/(m x K)",Btuth·in/(s·ft²·°F),
thermal conductivity,2,J78,calorie (thermochemical) per centimetre second degree Celsius,"4,184 x 10² W/(m x K)",calth/(cm·s·°C),
thermal conductivity,2,K52,kilocalorie (international table) per hour metre degree Celsius,"1,163 J/(m x s x K)",kcal/(m·h·°C),
coefficient of heat transfer,1,D55,watt per square metre kelvin,W/(m² x K),W/(m²·K),
surface coefficient of heat transfer,1M,N78,kilowatt per square metre kelvin,10³ W/(m² x K),kW/(m²·K),1000-fold of the derived SI unit watt divided by the product of the power of the SI base unit metre by exponent 2 and the SI base unit kelvin.
surface coefficient of heat transfer,2,D72,calorie (international table) per second square centimetre kelvin,"4,186 8 x 10⁴ W/(m² x K)",calIT/(s·cm²·K),
surface coefficient of heat transfer,2,D39,calorie (thermochemical) per second square centimetre kelvin,"4,184 x10⁴ W/(m² x K)",calth/(s·cm²·K),
surface coefficient of heat transfer,2,A20,British thermal unit (international table) per second square foot degree Rankine,"20 441,7 W/(m² x K)",BtuIT/(s·ft²·°R),
surface coefficient of heat transfer,2,A23,British thermal unit (international table) per hour square foot degree Rankine,"5,678 26 W/ (m² x K)",BtuIT/(h·ft²·°R),
surface coefficient of heat transfer,2,N74,British thermal unit (international table) per hour square foot degree Fahrenheit,"5,678 263 W/(m² x K)",BtuIT/(h·ft²·ºF),Unit of the heat transition coefficient according to the Imperial system of units.
surface coefficient of heat transfer,2,N75,British thermal unit (thermochemical) per hour square foot degree Fahrenheit,"5,674 466 W/(m² x K)",Btuth/(h·ft²·ºF),Unit of the heat transition coefficient according to the imperial system of units.
surface coefficient of heat transfer,2,N76,British thermal unit (international table) per second square foot degree Fahrenheit,"2,044 175 x 10⁴ W/(m² x K)",BtuIT/(s·ft²·ºF),Unit of the heat transition coefficient according to the imperial system of units.
surface coefficient of heat transfer,2,N77,British thermal unit (thermochemical) per second square foot degree Fahrenheit,"2,042 808 x 10⁴ W/(m² x K)",Btuth/(s·ft²·ºF) ,Unit of the heat transition coefficient according to the imperial system of units.
"thermal insulance, coefficient of thermal insulation",1,D19,square metre kelvin per watt,m² x K/W,m²·K/W,
"thermal insulance, coefficient of thermal insulation",2,J19,degree Fahrenheit hour square foot per British thermal unit (thermochemical),"0,176 228 m² x K/W",°F·h·ft²/Btuth,
"thermal insulance, coefficient of thermal insulation",2,J22,degree Fahrenheit hour square foot per British thermal unit (international table),"0,176 110 2 m² x K/W",°F·h·ft²/BtuIT,
"thermal insulance, coefficient of thermal insulation",2,J83,clo,"0,155 m² x K/W",clo,
"thermal insulance, coefficient of thermal insulation",2,L14,square metre hour degree Celsius per kilocalorie (international table),"0,859 845 2 m² x s x K/J",m²·h·°C/kcal,
thermal resistance,1,B21,kelvin per watt,K/W,K/W,
thermal resistance,1,H35,kelvin metre per watt,K x m⁻¹ x kg⁻¹ x s³,K·m/W,
thermal resistance,2,N84,degree Fahrenheit hour per British thermal unit (international table),"1,895 634 K/W",ºF/(BtuIT/h),Non SI-conforming unit of the thermal resistance according to the Imperial system of units.
thermal resistance,2,N85,degree Fahrenheit hour per British thermal unit (thermochemical),"1,896 903 K/W",ºF/(Btuth/h),Non SI-conforming unit of the thermal resistance according to the Imperial system of units.
thermal resistance,2,N86,degree Fahrenheit second per British thermal unit (international table),"5,265 651 x 10⁻⁴ K/W",ºF/(BtuIT/s),Non SI-conforming unit of the thermal resistance according to the Imperial system of units.
thermal resistance,2,N87,degree Fahrenheit second per British thermal unit (thermochemical),"5,269 175 x 10⁻⁴ K/W",ºF/(Btuth/s),Non SI-conforming unit of the thermal resistance according to the Imperial system of units.
thermal resistance,2,N88,degree Fahrenheit hour square foot per British thermal unit (international table) inch,"6,933 472 K x m/W",ºF·h·ft²/(BtuIT·in),Unit of specific thermal resistance according to the Imperial system of units.
thermal resistance,2,N89,degree Fahrenheit hour square foot per British thermal unit (thermochemical) inch,"6,938 112 K x m/W",ºF·h·ft²/(Btuth·in),Unit of specific thermal resistance according to the Imperial system of units.
thermal conductance,1,D52,watt per kelvin,W/K,W/K,
thermal diffusivity,1,S4,square metre per second,m²/s,m²/s,Synonym: metre squared per second (square metres/second US)
thermal diffusivity,2,S3,square foot per second,"0,092 903 04 m²/s",ft²/s,Synonym: foot squared per second
thermal diffusivity,1M,E97,millimetre per degree Celcius metre,10⁻³ K⁻¹,mm/(°C·m),
thermal diffusivity,1M,F53,millimetre per kelvin,10⁻³ m x K⁻¹,mm/K,
thermal diffusivity,2,N83,metre per degree Celcius metre,K⁻¹,m/(°C·m),SI base unit metre divided by the product of the unit degree Celsius and the SI base unit metre.
"heat capacity, entropy",1,JE,joule per kelvin,J/K,J/K,
"heat capacity, entropy",1S,B41,kilojoule per kelvin,10³ J/K,kJ/K,
"heat capacity, entropy",2,J43,British thermal unit (international table) per pound degree Fahrenheit,"4,186 8 x 10³ J/(kg x K)",BtuIT/(lb·°F),
"heat capacity, entropy",2,J50,British thermal unit (thermochemical) per pound degree Fahrenheit,"4,184 x 10³ J/(kg x K)",Btuth/(lb·°F),
"heat capacity, entropy",2,J76,calorie (international table) per gram degree Celsius,"4,186 8 x 10³ J/(kg x K)",calIT/(g·°C),
"heat capacity, entropy",2,J79,calorie (thermochemical) per gram degree Celsius,"4,184 x 10³ J/(kg x K)",calth/(g·°C),
"heat capacity, entropy",2,N60,British thermal unit (international table) per degree Fahrenheit,"1,899 101 x 10³ J/K",BtuIT/ºF,Unit of the heat capacity according to the Imperial system of units.
"heat capacity, entropy",2,N61,British thermal unit (thermochemical) per degree Fahrenheit,"1,897 830 x 10³ J/K",Btuth/ºF,Unit of the heat capacity according to the Imperial system of units.
"heat capacity, entropy",2,N62,British thermal unit (international table) per degree Rankine,"1,899 101 x 10³ J/K",BtuIT/ºR,Unit of the heat capacity according to the Imperial system of units.
"heat capacity, entropy",2,N63,British thermal unit (thermochemical) per degree Rankine,"1,897 830 x 10³ J/K",Btuth/ºR,Unit of the heat capacity according to the Imperial system of units.
"heat capacity, entropy",2,N64,British thermal unit (thermochemical) per pound degree Rankine,"4,184 x 10³ J/(kg x K)",(Btuth/°R)/lb,Unit of the heat capacity (British thermal unit according to the international table according to the Rankine degree) according to the Imperial system of units divided by the unit avoirdupois pound according to the avoirdupois system of units.
"heat capacity, entropy",2,N65,kilocalorie (international table) per gram kelvin,"4,186 8 x 10⁶ J/(kg x K)",(kcalIT/K)/g,"Unit of the mass-related heat capacity as quotient 1000-fold of the calorie (international table) divided by the product of the 0,001-fold of the SI base units kilogram and kelvin."
"specific heat capacity at: - constant pressure, -constant volume,- saturation",1,B11,joule per kilogram kelvin,J/(kg x K),J/(kg·K),
"specific heat capacity at: - constant pressure, -constant volume,- saturation",1S,B43,kilojoule per kilogram kelvin,10³ J/(kg x K),kJ/(kg·K),
"specific heat capacity at: - constant pressure, -constant volume,- saturation",2,A21,British thermal unit (international table) per pound degree Rankine,"4 186,8 J/(kg x K)",Btu/IT(lb·°R),
"specific heat capacity at: - constant pressure, -constant volume,- saturation",2,D76,calorie (international table) per gram kelvin,"4 186,8 J/(kg x K)",calIT/(g·K),
"specific heat capacity at: - constant pressure, -constant volume,- saturation",2,D37,calorie (thermochemical) per gram kelvin,"4,184 x 10³ J/(kg x K)",calth/(g·K),
"ratio of the specific heat capacities, ratio of the massic heat capacity, isentropic exponent",1,C62,one,1,1,Synonym: unit
"massieu function, planck function",1,JE,joule per kelvin,J/K,J/K,
"massic energy, specific energy",1,J2,joule per kilogram,J/kg,J/kg,
massic thermodynamic energy,1S,D95,joule per gram,J/(10⁻³ x kg),J/g,
specific thermodynamic energy,1S,JK,megajoule per kilogram,10⁶ J/kg,MJ/kg,
"massic enthalpy, specific enthalpy",1S,B42,kilojoule per kilogram,10³ J/kg,kJ/kg,
massic Helmholtz free energy,2,AZ,British thermal unit (international table) per pound,2 326 J/kg,BtuIT/lb,
specific Helmholtz free energy,2,D75,calorie (international table) per gram,"4 186,8 J/kg",calIT/g,
"massic Helmholtz free energy,",2,N73,British thermal unit (thermochemical) per pound,"2,324 444 x 10³ J/kg",Btuth/lb,Unit of the heat energy according to the Imperial system of units divided the unit avoirdupois pound according to the avoirdupois system of units.
"specific Helmholtz function, massic Gibbs free energy, specific Gibbs free energy",2,B36,calorie (thermochemical) per gram,4 184 J/kg,calth/g,
energy density,2,N58,British thermal unit (international table) per cubic foot ,"3,725 895 x10⁴ J/m³",BtuIT/ft³,Unit of the energy density according to the Imperial system of units.
energy density,2,N59,British thermal unit (thermochemical) per cubic foot,"3,723 403 x10⁴ J/m³",Btuth/ft³,Unit of the energy density according to the Imperial system of units.
massic thermodynamic energy,1S,Q31,kilojoule per gram,10⁶ J/kg,kJ/g,
"electric current, magnetic potential difference, magnetomotive force,current linkage",1,AMP,ampere,A,A,
"electric current, magnetic potential difference, magnetomotive force,current linkage",1S,B22,kiloampere,10³ A,kA,
"electric current, magnetic potential difference, magnetomotive force,current linkage",1S,H38,megaampere,10⁶ A,MA,
"electric current, magnetic potential difference, magnetomotive force,current linkage",1S,4K,milliampere,10⁻³ A,mA,
"electric current, magnetic potential difference, magnetomotive force,current linkage",1S,B84,microampere,10⁻⁶ A,µA,
"electric current, magnetic potential difference, magnetomotive force,current linkage",1S,C39,nanoampere,10⁻⁹ A,nA,
"electric current, magnetic potential difference, magnetomotive force,current linkage",1S,C70,picoampere,10⁻¹² A,pA,
"electric current, magnetic potential difference, magnetomotive force,current linkage",2,N96,biot,10¹ A,Bi,CGS (Centimetre-Gram-Second system) unit of the electric power which is defined by a force of 2 dyn per cm between two parallel conductors of infinite length with negligible cross-section in the distance of 1 cm.
"electric current, magnetic potential difference, magnetomotive force,current linkage",2,N97,gilbert,"7,957 747 x 10⁻¹ A",Gi,"CGS (Centimetre-Gram-Second system) unit of the magnetomotive force, which is defined by the work to increase the magnetic potential of a positive common pol with 1 erg."
"electric charge, quantity of electricity, electric flux (flux of displacement)",1,COU,coulomb,A x s,C,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1,A8,ampere second,C,A·s,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1,H32,ampere squared second,A² x s,A²·s,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1M,AMH,ampere hour,"3,6 x 10³ C",A·h,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one hour.
"electric charge, quantity of electricity, electric flux (flux of displacement)",1M,TAH,kiloampere hour (thousand ampere hour),"3,6 x 10⁶ C",kA·h,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1S,D77,megacoulomb,10⁶ C,MC,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1S,D86,millicoulomb,10⁻³ C,mC,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1S,B26,kilocoulomb,10³ C,kC,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1S,B86,microcoulomb,10⁻⁶ C,µC,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1S,C40,nanocoulomb,10⁻⁹ C,nC,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1S,C71,picocoulomb,10⁻¹² C,pC,
"electric charge, quantity of electricity, electric flux (flux of displacement)",1M,E09,milliampere hour,"3,6 C",mA·h,A unit of power load delivered at the rate of one thousandth of an ampere over a period of one hour.
"electric charge, quantity of electricity, electric flux (flux of displacement)",1M,N95,ampere minute,60 C,A·min,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one minute..
"electric charge, quantity of electricity, electric flux (flux of displacement)",2,N94,franklin,"3,335 641 x 10⁻¹⁰ C",Fr,"CGS (Centimetre-Gram-Second system) unit of the electrical charge, where the charge amounts to exactly 1 Fr where the force of 1 dyn on an equal load is performed at a distance of 1 cm."
"volume density of charge, charge density, volumic charge",1,A29,coulomb per cubic metre,C/m³,C/m³,
"volume density of charge, charge density, volumic charge",1S,A84,gigacoulomb per cubic metre,10⁹ C/m³,GC/m³,
"volume density of charge, charge density, volumic charge",1S,A30,coulomb per cubic millimetre,10⁹ C/m³,C/mm³,
"volume density of charge, charge density, volumic charge",1S,B69,megacoulomb per cubic metre,10⁶ C/m³,MC/m³,
"volume density of charge, charge density, volumic charge",1S,A28,coulomb per cubic centimetre,10⁶ C/m³,C/cm³,
"volume density of charge, charge density, volumic charge",1S,B27,kilocoulomb per cubic metre,10³ C/m³,kC/m³,
"volume density of charge, charge density, volumic charge",1S,D88,millicoulomb per cubic metre,10⁻³ C/m³,mC/m³,
"volume density of charge, charge density, volumic charge",1S,B87,microcoulomb per cubic metre,10⁻⁶ C/m³,µC/m³,
"surface density of charge, electric flux density, displacement electric polarization",1,A34,coulomb per square metre,C/m²,C/m²,
"surface density of charge, electric flux density, displacement electric polarization",1S,B70,megacoulomb per square metre,10⁶ C/m²,MC/m²,
"surface density of charge, electric flux density, displacement electric polarization",1S,A35,coulomb per square millimetre,10⁶ C/m²,C/mm²,
"surface density of charge, electric flux density, displacement electric polarization",1S,A33,coulomb per square centimetre,10⁴ C/m²,C/cm²,
"surface density of charge, electric flux density, displacement electric polarization",1S,B28,kilocoulomb per square metre,10³ C/m²,kC/m²,
"surface density of charge, electric flux density, displacement electric polarization",1S,D89,millicoulomb per square metre,10⁻³ C/m²,mC/m²,
"surface density of charge, electric flux density, displacement electric polarization",1S,B88,microcoulomb per square metre,10⁻⁶ C/m²,µC/m²,
electric field strength,1,D50,volt per metre,V/m,V/m,
electric field strength,1,H45,volt second per metre,m x kg x s⁻² x A⁻¹,V·s/m,
electric field strength,1,D45,volt squared per kelvin squared,V²/K²,V²/K²,
electric field strength,1S,D51,volt per millimetre,10³ V/m,V/mm,
